"RO-NO...
","BOOKED.
DATE","CLOSED.
DATE","DT
","TECH...
NO","LN
","SEQ
NO","M
","HT
","SC
","LBR..
TYPE","PAY.
TYPE","ACTUAL.
HOURS","SOLD...
HOURS","SOLD......
AMOUNT","LABOR.....
COST","OP-CODE...
","DESCRIPTION..
",
170383, 07MAY21, 07MAY21, S1,99999,  F,7,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170384, 04MAY21, 04MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, VIN       , VIN VERIFICAT,"        "
,,,,,,,,,,,,,,,,,,
170385, 04MAY21, 04MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, VIN       , VIN VERIFICAT,"        "
,,,,,,,,,,,,,,,,,,
170387, 04MAY21, 04MAY21, S1,99999,  A,1,  , ST,   , ISM  ,  ROP,0,0,50,0, VIN       , VIN VERIFICAT,"        "
,,,,,,,,,,,,,,,,,,
170388, 10MAY21, 10MAY21, S1,99999,  E,6,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170389, 18MAY21, 18MAY21, S1,99999,  I,12,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170390, 14MAY21, 14MAY21, S1,99999,  I,10,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170391, 11MAY21, 11MAY21, S1,99999,  F,7,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170392, 13MAY21, 13MAY21, S1,99999,  D,6,  , ST,   , ISM  ,  ROP,0,0,0,0, ILOF      , PERFORM INTER,"        "
,,,,,,,,,,,,,,,,,,
170392, 13MAY21, 13MAY21, S1,99999,  E,7,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
170392, 13MAY21, 13MAY21, S1,99999,  F,8,  , ST,   , ISM  ,  ROP,0,0,0,0, MISC      , MISCELLANEOUS,"        "
,,,,,,,,,,,,,,,,,,
170392, 13MAY21, 13MAY21, S1,99999,  G,9,  , ST,   , ISM  ,  ROP,0,0,0,0, BRAKES    , BRAKES       ,"        "
,,,,,,,,,,,,,,,,,,
170392, 13MAY21, 13MAY21, S1,99999,  H,10,  , ST,   , ISM  ,  ROP,0,0,0,0, WHOLESALE , WHOLESALING V,"        "
,,,,,,,,,,,,,,,,,,
170393, 13MAY21, 13MAY21, S1,99999,  J,11,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170394, 13MAY21, 13MAY21, S1,99999,  H,9,  , ST,   , ISD  ,  ROP,0,0,212.31,0, UCD       , RUDYS EXPRESS,"        "
,,,,,,,,,,,,,,,,,,
170395, 07MAY21, 07MAY21, S1,99999,  B,2,  , ST,   , ISM  ,  ROP,0,0,0,0, VI        , PERFORM COURT,"        "
,,,,,,,,,,,,,,,,,,
170399, 05MAY21, 06MAY21, S1,99999,  E,5,  , ST,   , WLV  ,  ROP,0,0,50,0, LOANER    , LOANER VEHICL,"        "
,,,,,,,,,,,,,,,,,,
